,path,number_of_files
0,../../eu-car-dataset/images/peugeot_rcz_2010,371
1,../../eu-car-dataset/images/mercedes-benz_e-270_2003,360
2,../../eu-car-dataset/images/fiat_500l_2012,357
3,../../eu-car-dataset/images/mercedes-benz_e-500_2010,214
4,../../eu-car-dataset/images/seat_leon_2006,405
5,../../eu-car-dataset/images/volkswagen_jetta_2011,222
6,../../eu-car-dataset/images/mercedes-benz_gla-250_2017,251
7,../../eu-car-dataset/images/audi_s1_2018,262
8,../../eu-car-dataset/images/nissan_x-trail_2016,242
9,../../eu-car-dataset/images/saab_9-3_2002,257
10,../../eu-car-dataset/images/smart_fortwo_2013,451
11,../../eu-car-dataset/images/fiat_doblo_2008,350
12,../../eu-car-dataset/images/fiat_doblo_2014,386
13,../../eu-car-dataset/images/honda_accord_2003,186
14,../../eu-car-dataset/images/mercedes-benz_c-300_2013,242
15,../../eu-car-dataset/images/bentley_bentayga_2017,297
16,../../eu-car-dataset/images/mercedes-benz_slc-43-amg_2018,281
17,../../eu-car-dataset/images/volkswagen_t5-caravelle_2010,238
18,../../eu-car-dataset/images/bmw_325_2010,225
19,../../eu-car-dataset/images/bmw_730_2017,234
20,../../eu-car-dataset/images/fiat_croma_2006,371
21,../../eu-car-dataset/images/volkswagen_golf-variant_2004,213
22,../../eu-car-dataset/images/mercedes-benz_a-170_2009,243
23,../../eu-car-dataset/images/maserati_quattroporte_2005,242
24,../../eu-car-dataset/images/citroen_xsara-picasso_2005,347
25,../../eu-car-dataset/images/mercedes-benz_b-200_2005,219
26,../../eu-car-dataset/images/subaru_impreza_2005,360
27,../../eu-car-dataset/images/honda_civic_2007,362
28,../../eu-car-dataset/images/bmw_x5_2014,272
29,../../eu-car-dataset/images/jeep_grand-cherokee_2011,205
30,../../eu-car-dataset/images/bmw_120_2007,412
31,../../eu-car-dataset/images/opel_movano_2004,137
32,../../eu-car-dataset/images/mazda_6_2007,202
33,../../eu-car-dataset/images/bmw_318_2008,222
34,../../eu-car-dataset/images/bmw_x5_2005,379
35,../../eu-car-dataset/images/citroen_c4_2005,213
36,../../eu-car-dataset/images/peugeot_407_2005,297
